Date,Trading Day,Open,High,Low,Close,Volume,Adj Close
2/26/1998,56,93.75,94.06,92.25,92.31,55918800,21.54
2/27/1998,57,91.94,92.37,89.5,89.69,73563600,20.93
3/2/1998,60,89.81,91.37,87.5,87.62,71733600,20.44
3/3/1998,61,85.94,86.31,84.12,85.31,116639200,19.9
3/4/1998,62,84.94,86.94,84.81,86.44,54200000,20.17
3/5/1998,63,75.06,77.37,75,75.56,369330400,17.63
3/6/1998,64,77.37,78.25,76.12,78.12,128355600,18.23
3/9/1998,67,78.25,78.37,74.94,75.06,107076800,17.51
3/10/1998,68,76.5,76.5,74.94,75.5,68406000,17.61
3/11/1998,69,76.56,76.62,75.06,75.87,56479200,17.7
3/12/1998,70,76.12,76.69,75.31,76.37,39483600,17.82
3/13/1998,71,77,77.5,76.56,76.62,33584400,17.88
3/16/1998,74,77.06,77.87,77,77.69,36159600,18.13
3/17/1998,75,77.5,77.69,75.62,76.75,55440400,17.91
3/18/1998,76,75.94,77.44,75.87,77,32528000,17.96
3/19/1998,77,77.37,77.94,76.75,77.31,34558000,18.04
3/20/1998,78,77.5,77.5,75.31,75.75,64090800,17.67
3/23/1998,81,75.5,75.5,74.44,75.06,73635600,17.51
3/24/1998,82,75.19,75.87,74,74.44,62888800,17.37
3/25/1998,83,75.87,76.44,75.25,76.06,66587600,17.75
3/26/1998,84,76.94,78.25,76.75,78.19,55606400,18.24
3/27/1998,85,78.31,79.56,78.25,78.87,72785200,18.4
3/30/1998,88,78.62,78.75,77.12,77.37,44500400,18.05
3/31/1998,89,76.69,78.25,76.62,78.06,57452000,18.21
4/1/1998,90,77.5,77.94,76.44,77.5,60100800,18.08
4/2/1998,91,76.94,77.5,76.06,76.37,44330800,17.82
4/3/1998,92,76.62,77.87,76.12,76.75,74411200,17.91
4/6/1998,95,76.19,76.25,73.87,73.87,71554000,17.23
4/7/1998,96,74,74.37,72.12,72.62,73555200,16.94
4/8/1998,97,73,73.44,71.31,72.56,80134000,16.93
4/9/1998,98,74.12,74.69,73.44,73.75,58564000,17.21
4/13/1998,102,73.87,76.5,73.5,76.25,63446000,17.79
4/14/1998,103,75.62,76.94,75.06,76,69982000,17.73
4/15/1998,104,78.19,79.5,74.75,74.87,142813200,17.47
4/16/1998,105,73.44,74.87,73.27,74.37,72342800,17.35
4/17/1998,106,74.06,75.31,73.94,75.19,45112800,17.54
4/20/1998,109,74.94,76.62,74.87,76.5,40400400,17.85
4/21/1998,110,77.75,79,77.62,78.94,93195600,18.42
4/22/1998,111,79.25,84.5,79.12,84.06,151875200,19.61
4/23/1998,112,83.25,85.06,82.06,83.25,98472000,19.42
4/24/1998,113,81.87,83.37,81.25,82.06,68476800,19.15
4/27/1998,116,80.25,81.37,78.75,80,83156000,18.66
4/28/1998,117,80.75,81.37,78.25,79.31,61831600,18.5
4/29/1998,118,79.5,80.5,78.75,80.12,41810400,18.7
4/30/1998,119,80.62,81.56,79.37,80.81,50554000,18.86
5/1/1998,120,80.94,82.5,80.12,82.12,45786400,19.17
5/4/1998,123,82.25,83.5,81.25,82,36578000,19.14
5/5/1998,124,81.75,82.75,81.56,81.87,34794800,19.11
5/6/1998,125,82.19,82.25,80.75,81.37,32992800,18.99
5/7/1998,126,81.44,82.25,80.69,81,39124400,18.91
5/8/1998,127,80.62,84.19,80.56,84.06,68384800,19.62
5/11/1998,130,83.87,84.87,82.5,82.5,47877600,19.26
5/12/1998,131,82.44,84.69,82.06,84.56,48472800,19.74
5/13/1998,132,84.62,85.31,83.75,84.81,52413200,19.79
5/14/1998,133,83.81,85.44,83.44,84.56,56047600,19.74
